id,nome,data,tasso
MII180356,Roma Rebibbia IIIª casa,2024-10-20,63.6364
MII180370,Roma Rebibbia Nuovo Complesso,2024-10-20,147.3983
MII180401,Roma Regina Coeli,2024-10-20,193.1579
MII180415,Rossano,2024-10-20,122.8137
MII180424,Rovigo,2024-10-20,116.5854
MII180426,Salerno,2024-10-20,157.4468
MII180437,Saluzzo,2024-10-20,81.8396
MII180451,San Cataldo,2024-10-20,73.1343
MII180458,San Gimignano,2024-10-20,145.7399
MII180476,San Severo,2024-10-20,127.8689
MII180465,Sanremo,2024-10-20,119.0045
MII181079,Sant'Angelo dei Lombardi,2024-10-20,149.5726
MII180487,Santa Maria Capua Vetere,2024-10-20,144.8773
MII181091,Sassari,2024-10-20,116.1148
MII181109,Sciacca,2024-10-20,100.0000
MII181115,Siena,2024-10-20,125.8621
MII181125,Siracusa,2024-10-20,122.3853
MII181346,Sondrio,2024-10-20,161.5385
MII181358,Spoleto,2024-10-20,100.6667
MII181371,Sulmona,2024-10-20,138.7302
MII181377,Taranto,2024-10-20,193.9959
MII181385,Tempio Pausania,2024-10-20,101.1765
MII181392,Teramo,2024-10-20,144.4882
MII181401,Termini Imerese,2024-10-20,117.3913
MII181407,Terni,2024-10-20,133.1754
MII181417,Tolmezzo,2024-10-20,98.6577
MII181424,Torino,2024-10-20,133.1502
MII181434,Trani,2024-10-20,133.8870
MII181440,Trani femminile,2024-10-20,131.2500
MII181625,Trapani,2024-10-20,107.4447
MII181636,Trento,2024-10-20,89.4484
MII181645,Treviso,2024-10-20,184.9206
MII181661,Trieste,2024-10-20,173.9726
MII181681,Turi,2024-10-20,141.6667
MII181672,Udine,2024-10-20,183.1579
MII181691,Vallo della Lucania,2024-10-20,145.0000
MII181703,Varese,2024-10-20,188.6792
MII181820,Vasto,2024-10-20,64.6259
MII181839,Velletri,2024-10-20,151.3353
MII181847,Venezia Giudecca,2024-10-20,82.1429
MII181863,Venezia Santa Maria Maggiore,2024-10-20,163.5220
MII181870,Verbania,2024-10-20,154.7170
MII181880,Vercelli,2024-10-20,149.4737
MII181891,Verona,2024-10-20,188.6792
MII181908,Vibo Valentia,2024-10-20,100.0000
MII181918,Vicenza,2024-10-20,147.5806
MII181924,Vigevano,2024-10-20,163.7615
MII181934,Viterbo,2024-10-20,175.3086
MII179733,Voghera,2024-10-20,102.6393
MII179876,Volterra,2024-10-20,95.2381
MII158910,Agrigento,2024-10-27,142.7007
MII157783,Alba,2024-10-27,83.6735
MII158919,"Alessandria Cantiello, Gaeta",2024-10-27,101.4286
MII158924,Alessandria San Michele,2024-10-27,137.5000
